pattern_id,code,pattern,length,density,frequency,found_in
P066,PP,X X X X | X X X X,8,8,47,"เชิด ชั้นเดียว, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), เชิดจีน, ชมแสงจันทร์ เถา, สรภัญญะ, ระบำกรับ, ใบ้คลั่ง เถา"
P067,IPPL,- X - X | X X X X | X X X X | X X - X,16,13,46,"สี่บท เถา, ฝรั่งรำเท้า, เทพรัญจวน เถา, พญาโศก สองชั้น, แขกลพบุรี สามชั้น, นารายณ์แปลงรูป สามชั้น, ทยอยเขมร สามชั้น, บังใบ เถา …+14"
P068,IIIN,- X - X | - X - X | - X - X | - X X X,16,9,45,"ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ช้าเรื่องตะนาว (พระนคร), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ทะเลบ้า สองชั้น, ทะเลบ้า เถา, กราวใน, นารายณ์แปลงรูป สามชั้น, อกทะเล เถา …+12"
P069,NIBL,- X X X | - X - X | - X - - | X X - X,16,9,45,"ตะบองกัน, พม่าห้าท่อน สามชั้น, วา, พม่าเห่ เถา, จีนขิมเล็ก เถา, สารถี เถา, สุรินทราหู เถา, เขมรปี่แก้ว สามชั้น …+19"
P070,ILNI,- X - X | X X - X | - X X X | - X - X,16,10,44,"แขกมอญบางขุนพรหม เถา, แขกมอญ เถา, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), อาถรรพ์ เถา, ทะแยกลองโยน, ตับสมิงทอง, แสนสุดสวาท สามชั้น …+13"
P071,IIPI,- X - X | - X - X | X X X X | - X - X,16,10,43,"เชิดจีน, ทยอยญวน เถา, ระบำสุโขทัย, ทะเลบ้า สองชั้น, ช้าเรื่องขอมดำดิน, ระบำบันเทิงกาสร, สิงโต สองชั้น, ฟ้อนลาวคำหอม (เสียง มซซซ) …+10"
P072,JIID,- - X X | - X - X | - X - X | - - - X,16,7,43,"ตระปลายพระลักษมณ์, ระบำสวัสดิรักษา, ตระมารละม่อม, ตระท้าวน้อย, หกบท เถา, อาถรรพ์ เถา, เวสสุกรรม สองชั้น, โลม …+20"
P073,OOOD,- - - - | - - - - | - - - - | - - - X,16,1,43,"ทยอยนอก สามชั้น, ทยอยเขมร สามชั้น, เขมรราชบุรี สามชั้น, เชิดจีน, เขมรไทรโยค, เขมรโพธิสัตว์ สามชั้น, โหมโรงกราวนอก, ใบ้คลั่ง เถา …+6"
P074,IIDI,- X - X | - X - X | - - - X | - X - X,16,7,42,"ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), เขมรพายเรือ สองชั้น, โอ้ลาว เถา, ทยอยใน เถา, พญาเดิน, เรื่องสีนวล (หลวงบำรุงจิตรเจริญ), ลาวเสี่ยงเทียน เถา, ระบำดาวดึงส์ …+16"
P075,NIBP,- X X X | - X - X | - X - - | X X X X,16,10,41,"เหาะ, ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ช้าเรื่องสร้อยสน (พระนคร), ช้าเรื่องจีนแส (พระนคร), ตระนอน, ตับมโหรีนางนาค, ทะแยกลองโยน …+5"
P076,NLPL,- X X X | X X - X | X X X X | X X - X,16,13,41,"บังใบ เถา, กลม, แขกมอญบางขุนพรหม เถา, ต่อยรูป เถา, สารถี เถา, เขมรใหญ่ สามชั้น, เขมรโพธิสัตว์ เถา, โหมโรงกราวนอก …+20"
P077,IIID,- X - X | - X - X | - X - X | - - - X,16,7,40,"ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), ช้าเรื่องตะนาว (พระนคร), ระบำม่านมุ้ยเชียงตา, เชิดฉาน, เชิดฉาน (ฉบับโครงสร้าง), พระรามเดินดง, ลา …+11"
P078,IJIL,- X - X | - - X X | - X - X | X X - X,16,9,40,"อกทะเล สามชั้น, เชิดจีน, ฉิ่งเรื่องพระฉันเช้า (ยิกิน), พระรามเดินดง, กลม, สามเส้า สองชั้น, ช้าปี่นอก, ระบำดาวดึงส์ …+14"
P079,IL,- X - X | X X - X,8,5,40,"เชิด ชั้นเดียว, ปฐม ชั้นเดียว, เจดีย์เจ็ดยอด, เรื่องสีนวล (หลวงบำรุงจิตรเจริญ), ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), ฉิ่งเรื่องพระฉันเช้า (ยิกิน), พญาเดิน, ระบำกฤดาภินิหาร …+1"
P080,JPJJ,- - X X | X X X X | - - X X | - - X X,16,10,40,"เชิดจีน, พม่าห้าท่อน หกชั้น, ทยอยเขมร สามชั้น, ทะเลบ้า เถา, สี่บท เถา, โสมส่องแสง เถา, โหมโรงสามม้า, พันธุ์ฝรั่ง เถา …+4"
P081,OODD,- - - - | - - - - | - - - X | - - - X,16,2,40,"ลาวเสี่ยงเทียน เถา, ระบำชุมนุมเผ่าไทย, แมลงวันทอง สองชั้น, รำวงมาตรฐาน, ระบำชาวนา, เขมรพวง เถา, ชมแสงจันทร์ เถา, สร้อยลำปาง เถา …+18"
P082,OPII,- - - - | X X X X | - X - X | - X - X,16,8,40,"ฉิ่งเรื่องพระฉันเพล (จิ้งจกทอง), เรื่องสีนวล (หลวงบำรุงจิตรเจริญ), จีนล่องหน่าย, เขมรโพธิสัตว์ เถา, เขมรโพธิสัตว์ สองชั้น, จีนเก็บบุปผา, โสมส่องแสง เถา, ลาวดวงเดือน สองชั้น …+8"
